roster_randomid,officialroster,ingradebookdata,insurveyparticipatedata,status,gender,eth2009rollupforreporting,agegroup,lowincomeflag,fulltimestatus,firstgenerationflag,homeprimarylang,admissionsstatusdetail,hsgpa,transfergpa,gpacumulative,firstregacadyr,firstregacadterm,major1
499769,Yes,Yes,Yes,Enrolled,Male,International student,20,N,Full-time,N,Non-English,Freshman,3.55,,,2014-15,Fall,Undeclared
627410,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,25-29,N,Full-time,Y,Non-English,Transfer,,3.01,,2013-14,Fall,Dance
888382,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,21,N,Part-time,N,Non-English,Freshman,4.0599999,,,2014-15,Fall,Biological Sciences
667020,Yes,Yes,Yes,Enrolled,Female,International student,20,N,Part-time,Y,Non-English,Freshman,4.0500002,,,2014-15,Fall,Art
219450,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
696499,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,Y,Full-time,Y,Non-English,Freshman,3.95,,,2014-15,Fall,Biological Sciences
331128,NO,,Yes,,,,,,,,,,,,,,,
475486,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Full-time,N,English only,Freshman,4.0900002,,,2014-15,Fall,Biological Sciences
645994,Yes,Yes,Yes,Enrolled,Female,International student,20,N,Full-time,N,Non-English,Freshman,3.96,,,2014-15,Fall,Biological Sciences
149531,Yes,Yes,Yes,Enrolled,Male,International student,21,N,Part-time,N,Non-English,Freshman,3.4200001,,,2014-15,Fall,Business Administration
238015,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
215400,Yes,Yes,Yes,Enrolled,Male,International student,20,N,Full-time,N,English/non-English,Freshman,3.5999999,,,2014-15,Fall,Computer Science
855257,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Transfer,,3.6300001,,2015-16,Fall,Public Health Sciences
351821,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
